e0:ca:94:85:79:67,1,0,0,0
fc:52:8d:5e:8c:c1,8,331542,6796,0
8:eb:74:bc:b:b4,8,355678,4297,0
8:eb:74:bc:c:20,8,350111,5670,0
fc:4a:e9:9:ee:e3,8,347875,3895,0
fc:52:8d:5e:8c:94,8,329615,5124,0
fc:52:8d:5e:8c:79,8,343026,10713,103
fc:52:8d:5e:88:2,8,328732,5244,1
8:eb:74:bc:b:d8,8,353080,3798,0
8:eb:74:bc:c:a4,8,351780,6048,0
fc:52:8d:5e:8c:28,8,325208,7566,0
8:eb:74:bc:c:8c,8,353080,3988,0
fc:52:8d:5e:8f:fd,8,328421,5395,2
5c:e3:e:70:e1:79,1,0,0,0
e0:ca:94:86:79:a4,8,353246,4379,0
fc:52:8d:5e:95:4c,8,326522,6503,1
fc:52:8d:5e:90:2a,8,329189,5768,0
fc:52:8d:5e:8c:af,8,326852,5990,0
fc:52:8d:5e:88:65,8,330341,5155,0
8:eb:74:bc:b:c0,8,353815,4126,0
0:50:f1:12:d8:94,8,344247,8180,35
fc:4a:e9:9:ee:b3,8,344514,7824,0
f0:f2:49:d0:de:50,8,341971,7350,52
fc:4a:e9:9:ee:fb,8,348691,4112,0
fc:4a:e9:9:ee:b6,8,349329,4250,0
dc:ef:9:ff:5d:90,8,325839,7085,0
fc:4a:e9:9:ee:bf,8,348482,4852,0
dc:ef:9:ff:5d:b0,8,326477,7793,2
dc:ef:9:ff:5d:70,1,0,0,0
dc:ef:9:ff:5e:20,8,325272,6496,0
8:eb:74:bc:c:8,8,343219,10490,1
8:eb:74:bc:c:14,8,353529,3843,0
fc:4a:e9:9:ee:ad,8,347960,4074,0
8:eb:74:bc:c:98,8,351957,3996,0
8:eb:74:bc:c:b0,8,349291,4329,0
0:50:f1:12:d8:80,1,0,0,0
0:8:b9:18:54:d2,1,0,0,0
0:8:b9:18:54:ea,1,0,0,0
